"sellertown","price"
"Jakarta Selatan                                             ","11000"
"Depok                                                       ","25000"
"Jakarta Pusat                                               ","17248"
"Tangerang Selatan                                           ","3500"
"Kab. Tangerang                                              ","40000"
"Jakarta Timur                                               ","10400"
"Tangerang Selatan                                           ","15000"
"Jakarta Barat                                               ","19000"
"Jakarta Barat                                               ","4180"
"Tangerang Selatan                                           ","9999"
"Jakarta Barat                                               ","25000"
"Kab. Bogor                                                  ","9800"
"Tangerang Selatan                                           ","14999"
"Jakarta Barat                                               ","8000"
"Jakarta Barat                                               ","20000"
"Kab. Bekasi                                                 ","20000"
"Kab. Bekasi                                                 ","12500"
"Kab. Tangerang                                              ","4550"
"Tangerang Selatan                                           ","9999"
"Tangerang Selatan                                           ","9000"
"Jakarta Selatan                                             ","10000"
"Tangerang                                                   ","6999"
"Jakarta Selatan                                             ","14000"
"Tangerang                                                   ","1999"
"Jakarta Barat                                               ","42000"
"Tangerang Selatan                                           ","15000"
"Tangerang Selatan                                           ","139999"
"Tangerang Selatan                                           ","17499"
"Jakarta Timur                                               ","17248"
"Jakarta Barat                                               ","6020"
"Tangerang                                                   ","699"
"Kab. Bogor                                                  ","14000"
"Jakarta Selatan                                             ","10200"
"Jakarta Selatan                                             ","16000"
"Kab. Bogor                                                  ","7000"
"Depok                                                       ","9900"
"Jakarta Barat                                               ","8000"
"Jakarta Barat                                               ","6000"
"Tangerang Selatan                                           ","14999"
"Jakarta Timur                                               ","7500"
"Jakarta Pusat                                               ","17325"
"Depok                                                       ","15000"
"Kab. Tangerang                                              ","9000"
"Kab. Tangerang                                              ","16300"
"Jakarta Barat                                               ","14700"
"Depok                                                       ","15000"
"Jakarta Timur                                               ","7400"
"Bekasi                                                      ","16000"
"Jakarta Timur                                               ","20000"
"Tangerang Selatan                                           ","7500"
"Jakarta Timur                                               ","35899"
"Jakarta Barat                                               ","6500"
"Jakarta Selatan                                             ","17000"
"Jakarta Pusat                                               ","109750"
"Tangerang Selatan                                           ","10000"
"Jakarta Pusat                                               ","12000"
"Jakarta Barat                                               ","17000"
"Depok                                                       ","12500"
"Jakarta Pusat                                               ","12000"
"Tangerang Selatan                                           ","24999"
"Jakarta Timur                                               ","12000"
"Tangerang Selatan                                           ","17000"
"Tangerang                                                   ","13500"
"Tangerang                                                   ","2999"
"Jakarta Timur                                               ","13500"
"Depok                                                       ","16900"
"Kab. Bekasi                                                 ","9000"
"Jakarta Pusat                                               ","8900"
